date_time,patuxent,seneca,occoquan
2022-06-01,10.72,3.82,8.530052024
2022-06-02,10.66,3.83,8.51957547
2022-06-03,10.6,3.83,8.650532394
2022-06-04,10.53,3.83,8.650532394
2022-06-05,10.44,3.82,8.566719963
2022-06-06,10.41,3.81,8.514337193
2022-06-07,10.39,3.8,8.488145809
2022-06-08,10.36,3.81,8.482907532
2022-06-09,10.66,3.85,8.493384086
2022-06-10,10.64,3.86,8.530052024
2022-06-11,10.62,3.87,8.498622363
2022-06-12,10.57,3.87,8.488145809
2022-06-13,10.53,3.86,8.482907532
2022-06-14,10.48,3.86,8.498622363
2022-06-15,10.43,3.86,8.488145809
2022-06-16,10.36,3.85,8.461954424
2022-06-17,10.34,3.84,8.45147787
2022-06-18,10.3,3.83,8.435763039
2022-06-19,10.29,3.82,8.404333378
2022-06-20,10.25,3.81,8.399095101
2022-06-21,5.73,3.81,8.404333378
2022-06-22,10.19,3.81,8.404333378
2022-06-23,10.33,3.84,8.592911348
2022-06-24,10.33,3.84,8.582434794
2022-06-25,10.3,3.84,8.530052024
2022-06-26,10.29,3.84,8.488145809
2022-06-27,10.27,3.85,8.456716147
2022-06-28,10.23,3.85,8.446239593
2022-06-29,10.1,3.84,8.425286485
2022-06-30,10.18,3.84,8.409571654
2022-07-01,10.15,3.84,8.404333377516
2022-07-02,10.13,3.83,8.393856823628
2022-07-03,10.15,3.82,8.393856823628
2022-07-04,10.12,3.82,8.38338026974
2022-07-05,10.11,3.82,8.367665438908
2022-07-06,10.09,3.82,8.38338026974
2022-07-07,10.11,3.82,8.56671996278
2022-07-08,10.11,3.82,8.551005131948
2022-07-09,10.16,3.82,9.006735226076
2022-07-10,10.18,3.82,8.9857821183
2022-07-11,10.15,3.82,8.69767688638
2022-07-12,8.31,3.82,8.587673070556
2022-07-13,10.14,3.82,8.67148550166
2022-07-14,10.14,3.82,8.739583101932
2022-07-15,10.11,3.81,8.666247224716
2022-07-16,10.07,3.81,8.5929113475
2022-07-17,10.06,3.81,8.582434793612
2022-07-18,10.06,3.8,8.571958239724
2022-07-19,10.24,3.83,8.530052024172
2022-07-20,10.04,3.83,8.493384085564
2022-07-21,10.01,3.82,8.472430977788
2022-07-22,9.98,3.82,8.509098916396
2022-07-23,9.95,3.81,8.482907531676
2022-07-24,9.89,3.81,8.446239593068
2022-07-25,9.86,3.8,8.430524762236
2022-07-26,9.83,3.8,8.51433719334
2022-07-27,9.78,3.8,8.51433719334
2022-07-28,9.76,3.8,8.477669254732
2022-07-29,9.73,3.79,8.451477870012
2022-07-30,9.68,3.8,8.493384085564
2022-07-31,9.65,3.79,8.498622362508
2022-08-01,9.64,3.81,8.477669254732
2022-08-02,9.61,3.81,8.467192700844
2022-08-03,9.55,3.81,8.451477870012
2022-08-04,9.53,3.8,8.425286485292
2022-08-05,9.63,3.83,8.446239593068
2022-08-06,9.65,3.84,8.54052857806
2022-08-07,9.63,3.84,8.503860639452
2022-08-08,9.58,3.84,8.4619544239
2022-08-09,9.59,3.83,8.446239593068
2022-08-10,9.54,3.83,8.467192700844
2022-08-11,11.1,3.84,8.739583101932
2022-08-12,9.5,3.84,8.603387901388
2022-08-13,9.46,3.84,8.48814580862
2022-08-14,9.41,3.83,8.441001316124
2022-08-15,9.38,3.83,8.430524762236
2022-08-16,9.34,3.83,8.420048208348
2022-08-17,9.3,3.82,8.40957165446
2022-08-18,9.27,3.82,8.404333377516
2022-08-19,9.22,3.81,8.393856823628
2022-08-20,9.18,3.82,8.372903715852
2022-08-21,9.14,3.81,8.362427161964
2022-08-22,5.75,3.82,8.362427161964
